FID,PCODE,N_05_70K,N_15_100k,N_05_15,Cat_05_70K,Cat_15_100,Cat_05_15,Sub_indic
160,2170,60,40,-20,60 to 79%,40 to 59%,Less affordable,Liverpool
161,2175,0,0,0,low sales volume,low sales volume,low sales volume,Horsley Park
162,2176,35,15,-20,20 to 39%,Less than 20%,Less affordable,Abbotsbury
163,2190,30,15,-15,20 to 39%,Less than 20%,Less affordable,Greenacre
164,2191,25,5,-20,20 to 39%,Less than 20%,Less affordable,Belfield
165,2194,65,30,-35,60 to 79%,20 to 39%,Much less affordable,Campsie
166,2195,80,80,0,Over 80%,Over 80%,About the same,Lakemba
167,2196,50,35,-15,40 to 59%,20 to 39%,Less affordable,Punchbowl
168,2197,25,5,-20,20 to 39%,Less than 20%,Less affordable,Bass Hill
169,2199,50,15,-35,40 to 59%,Less than 20%,Much less affordable,Yagoona
170,2222,50,25,-25,40 to 59%,20 to 39%,Much less affordable,Penshurst
171,2223,35,15,-20,20 to 39%,Less than 20%,Less affordable,Oatley
172,2224,15,5,-10,Less than 20%,Less than 20%,Less affordable,Sylvania
173,2225,5,5,0,Less than 20%,Less than 20%,About the same,Oyster Bay
174,2226,15,10,-5,Less than 20%,Less than 20%,About the same,Como
175,2227,20,5,-15,20 to 39%,Less than 20%,Less affordable,Gymea
176,2228,30,10,-20,20 to 39%,Less than 20%,Less affordable,Miranda
177,2200,60,40,-20,60 to 79%,40 to 59%,Less affordable,Bankstown
178,2229,20,15,-5,20 to 39%,Less than 20%,About the same,Caringbah
179,2230,35,15,-20,20 to 39%,Less than 20%,Less affordable,Cronulla
180,2231,0,0,0,low sales volume,low sales volume,low sales volume,Kurnell
181,2204,35,15,-20,20 to 39%,Less than 20%,Less affordable,Marrickville
182,2232,40,15,-25,40 to 59%,Less than 20%,Much less affordable,Sutherland
183,2233,20,5,-15,20 to 39%,Less than 20%,Less affordable,Heathcote
184,2234,10,5,-5,Less than 20%,Less than 20%,About the same,Menai
185,2250,0,60,0,low sales volume,60 to 79%,low sales volume,Gosford
186,2251,0,30,0,low sales volume,20 to 39%,low sales volume,Avoca Beach
187,2256,0,45,0,low sales volume,40 to 59%,low sales volume,Woy Woy
188,2257,0,35,0,low sales volume,20 to 39%,low sales volume,Ettalong Beach
189,2258,0,50,0,low sales volume,40 to 59%,low sales volume,Ourimbah
190,2259,0,65,0,low sales volume,60 to 79%,low sales volume,Wyong
191,2260,0,15,0,low sales volume,Less than 20%,low sales volume,Terrigal
192,2261,0,60,0,low sales volume,60 to 79%,low sales volume,The Entrance
193,2262,0,95,0,low sales volume,Over 80%,low sales volume,Budgewoi
194,2263,0,85,0,low sales volume,Over 80%,low sales volume,Toukley
195,2555,0,0,0,low sales volume,low sales volume,low sales volume,Badgerys Creek
196,2205,30,10,-20,20 to 39%,Less than 20%,Less affordable,Wolli Creek
197,2206,20,5,-15,20 to 39%,Less than 20%,Less affordable,Earlwood
198,2207,35,10,-25,20 to 39%,Less than 20%,Much less affordable,Bexley
199,2563,0,0,0,low sales volume,low sales volume,low sales volume,Menangle Park
200,2564,95,60,-35,Over 80%,60 to 79%,Much less affordable,Macquarie Fields
201,2208,10,10,0,Less than 20%,Less than 20%,About the same,Kingsgrove
202,2568,30,0,0,20 to 39%,low sales volume,low sales volume,Menangle
203,2569,0,0,0,low sales volume,low sales volume,low sales volume,Douglas Park
204,2570,45,20,-25,40 to 59%,20 to 39%,Much less affordable,Camden
205,2571,55,35,-20,40 to 59%,20 to 39%,Less affordable,Picton
206,2572,45,35,-10,40 to 59%,20 to 39%,Less affordable,Thirlmere
207,2573,80,65,-15,Over 80%,60 to 79%,Less affordable,Tahmoor
208,2574,70,35,-35,60 to 79%,20 to 39%,Much less affordable,Bargo
209,2745,40,15,-25,40 to 59%,Less than 20%,Much less affordable,Glenmore Park
210,2209,25,10,-15,20 to 39%,Less than 20%,Less affordable,Beverly Hills
211,2210,20,5,-15,20 to 39%,Less than 20%,Less affordable,Peakhurst
212,2211,20,5,-15,20 to 39%,Less than 20%,Less affordable,Padstow
213,2212,20,5,-15,20 to 39%,Less than 20%,Less affordable,Revesby
214,2747,90,40,-50,Over 80%,40 to 59%,Much less affordable,Werrington
215,2213,15,5,-10,Less than 20%,Less than 20%,Less affordable,East Hills
216,2216,50,15,-35,40 to 59%,Less than 20%,Much less affordable,Rockdale
217,2217,45,10,-35,40 to 59%,Less than 20%,Much less affordable,Kogarah
218,2218,55,5,-50,40 to 59%,Less than 20%,Much less affordable,Carlton
219,2219,35,10,-25,20 to 39%,Less than 20%,Much less affordable,Sans Souci
220,2220,40,10,-30,40 to 59%,Less than 20%,Much less affordable,Hurstville
221,2221,15,5,-10,Less than 20%,Less than 20%,Less affordable,Blakehurst
222,2556,0,0,0,low sales volume,low sales volume,low sales volume,Bringelly
223,2557,0,15,0,low sales volume,Less than 20%,low sales volume,Rossmore
224,2558,90,50,-40,Over 80%,40 to 59%,Much less affordable,Eagle Vale
225,2559,0,0,0,low sales volume,low sales volume,low sales volume,Claymore
226,2560,80,50,-30,Over 80%,40 to 59%,Much less affordable,Campbelltown
227,2565,80,35,-45,Over 80%,20 to 39%,Much less affordable,Ingleburn
228,2566,85,40,-45,Over 80%,40 to 59%,Much less affordable,Minto
229,2567,40,15,-25,40 to 59%,Less than 20%,Much less affordable,Narellan
230,2748,0,0,0,low sales volume,low sales volume,low sales volume,Orchard Hills
231,2749,75,35,-40,60 to 79%,20 to 39%,Much less affordable,Castlereagh
232,2750,75,40,-35,60 to 79%,40 to 59%,Much less affordable,Penrith
233,2752,55,35,-20,40 to 59%,20 to 39%,Less affordable,Silverdale
234,2753,60,40,-20,60 to 79%,40 to 59%,Less affordable,Richmond
235,2754,45,30,-15,40 to 59%,20 to 39%,Less affordable,North Richmond
236,2756,60,30,-30,60 to 79%,20 to 39%,Much less affordable,Windsor
237,2757,0,0,0,low sales volume,low sales volume,low sales volume,Kurmond
238,2758,15,20,5,Less than 20%,20 to 39%,About the same,Kurrajong
239,2759,70,15,-55,60 to 79%,Less than 20%,Much less affordable,St Clair
